date,source_type,page,section,brand,offer,product_type
2026-07-26,品牌页,Trip.com,,Trip.com,15% off on UK Trains,UK & Europe Train Tickets
2026-07-26,品牌页,Trip.com,,Trip.com,Up to £50 Off Hotels,Hotels / Accommodation
2026-07-26,品牌页,Trip.com,,Trip.com,5% Off Tours and Tickets,Tours & Tickets
2026-07-26,品牌页,Trip.com,,Trip.com,5% Off UK trains for new users,UK & Europe Train Tickets
2026-07-26,品牌页,Trip.com,,Trip.com,10% Off eSim,eSIM / SIM
2026-07-26,品牌页,Trip.com,,Trip.com,£8 off for New Users on Railcards,Railcard
2026-07-26,品牌页,Trip.com,,Trip.com,10% off Railcard for existing users,Railcard
2026-07-26,品牌页,Trip.com,,Trip.com,5% Off Bus for new users,Bus / Coach
2026-07-26,品牌页,Trip.com,,Trip.com,6% Off Japan Railway for new users,Asia Train / Railway
2026-07-26,品牌页,Trip.com,,Trip.com,£4 UK Train for New User,UK & Europe Train Tickets
2026-07-26,品牌页,Trip.com,,Trip.com,Up to £20 OFF Flights,Flights
2026-07-26,品牌页,Trip.com,,Trip.com,"6% Off Disneyland, Universal Studios, Sagrada Familia",Tours & Tickets
2026-07-26,品牌页,Trip.com,,Trip.com,2% Off UK trains for existing users,UK & Europe Train Tickets
2026-07-26,品牌页,Trainline,,Trainline,15% off the 16-25 Railcard,Railcard
2026-07-26,品牌页,Trainline,,Trainline,15% off the 26-30 Railcard,Railcard
2026-07-26,品牌页,Trainline,,Trainline,15% off the 16-17 Saver,Railcard
2026-07-26,品牌页,Omio,,Omio,5% Student Discount for Existing Users,Other
2026-07-26,品牌页,Omio,,Omio,7% Student Discount for New Customers,Other
2026-07-26,品牌页,National Express,,National Express,Up to 20% Student Discount,Bus / Coach
