date,source_type,page,section,brand,offer,product_type
2026-08-13,页面,Travel & Entertainment,,Klook,"Up to 15% off your next Vietnam adventure 🇻🇳✨ From Ha Long Bay cruises to Hoi An experiences, save with Klook. Get now",Other
2026-08-13,页面,Travel & Entertainment,,Viator,"10% off unforgettable tours & experiences with Viator 🌍 Save on tours, activities and bucket list trips with Viator. Get now",Tours & Tickets
2026-08-13,页面,Travel & Entertainment,,Wowcher,15% off Wowcher travel deals 🏝️ Get 15% off selected bookings with your UNiDAYS discount Get now,Other
2026-08-13,页面,Travel & Entertainment,,Klook,Up to 15% off your next Vietnam adventure 🇻🇳✨,Other
2026-08-13,页面,Travel & Entertainment,,Viator,10% off unforgettable tours & experiences with Viator 🌍,Tours & Tickets
2026-08-13,页面,Travel & Entertainment,,Wowcher,15% off Wowcher travel deals 🏝️,Other
2026-08-13,页面,Travel & Entertainment,,Klook,"From Ha Long Bay cruises to Hoi An experiences, save with Klook.",Other
2026-08-13,页面,Travel & Entertainment,,Wowcher,Get 15% off selected bookings with your UNiDAYS discount,Other
2026-08-13,页面,Travel & Entertainment,,Viator,"Save on tours, activities and bucket list trips with Viator.",Tours & Tickets
2026-08-13,页面,Travel & Entertainment,,Trip.com,15% Off Trains For New Trip.com Customers 🚆 The Trip.com Summer Sale is here! Travel for less this summer and get 15% off as a new user. Get now,UK & Europe Train Tickets
2026-08-13,页面,Travel & Entertainment,,Trip.com,15% Off Trains For New Trip.com Customers 🚆,UK & Europe Train Tickets
2026-08-13,页面,Travel & Entertainment,,Trip.com,The Trip.com Summer Sale is here! Travel for less this summer and get 15% off as a new user.,Other
2026-08-13,页面,Travel & Entertainment,Holidays & Hotels,Klook,20% Off for New Klook Users,Other
2026-08-13,页面,Travel & Entertainment,Holidays & Hotels,Far From Travel,20% Discount on Booking Fee,Other
2026-08-13,页面,Travel & Entertainment,Holidays & Hotels,Macdonald Hotel & Resorts,10% Off Spa Days & Treatments,Hotels / Accommodation
2026-08-13,页面,Travel & Entertainment,Holidays & Hotels,Fever,10% Off,Other
2026-08-13,页面,Travel & Entertainment,Holidays & Hotels,TruTravels,10% off your next trip!,Other
2026-08-13,页面,Travel & Entertainment,Transport,Trainline,15% Off 16-17 Saver Railcard,Railcard
2026-08-13,页面,Travel & Entertainment,Transport,Swapfiets,£25 off your bike subscription,Other
2026-08-13,页面,Travel & Entertainment,Transport,Europcar,Save up to 20% on Italy Car Rentals,Car Rental
